,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
1,.hack//G.U. Last Recode,.hack//G.U. Last Recode,PS4,14/20,--/20,Bandai Namco Entertainment,03 Novembre 2017,RPG,+12 ans,http://www.jeuxvideo.com/jeux/ps4/jeu-674262/,"Au contraire d’autres titres, None ,''.hack'' n’aura pas marqué la PlayStation 2 ou la PlayStation 3. Pourtant la série développée par CyberConnect 2 a été l’une des premières, voire la première à marier de manière aussi poussée les liens entre jeu vidéo, roman, Manga et Anime, tout en abordant et exploitant des thèmes originaux, jusque-là jamais mis en scène. Aussi l’arrivée d’un remaster (avec un nouvel épisode) de ''.hack//G.U''., la deuxième trilogie de la franchise, rappelle combien celle-ci a raté son public lors de sa sortie originale en Occident."
2,.hack//G.U. Vol.1//Rebirth,.hack//G.U. Vol. 1//Rebirth,PS2,15/20,18.2/20,Bandai Namco CyberConnect2,Date de sortie inconnue,RPG,+7 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00014603-hack-g-u-vol-1-rebirth.htm," Avec plus de 20 œuvres de fiction sur de multiples supports, la série .hack (prononcer dot hack) est très certainement l'un des projets multimédias les plus ambitieux des années 2000. Après une première tétralogie qui plongeait le joueur au cœur de The World, un MMORPG virtuel, mais permettant des sensations réalistes, voilà que CyberConnect2 récidive en 2006 avec une trilogie de Dungeon-RPG, toujours sur PS2."
3,.hack//Infection Part 1,.hack//Infection: Part 1,PS2,15/20,15.1/20,CyberConnect2 Bandai,26 Mars 2004,RPG,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00012047-hack-infection-part-1.htm," S'appuyant sur la maxime « Mieux vaut tard que jamais », accueillons comme il se doit le premier opus de la quadrilogie Dot Hack, sous titré Infection, sur le vieux continent. Sorti il y a deux ans environ au Japon (le pays des RPGistes heureux !), ce projet à haute teneur en multimédia s'offre à nous grâce aux bienfaits d'Atari qui propose de surcroît une version française bienfaitrice. Inutile de dire que l'année 2004 s'annonce chargée en RPG de toutes sortes et si vous avez décidé de souffler entre un Sword Of Mana et un FFTA, faites très attention à .hack Infection qui pourrait bien vous faire suffoquer."
4,.hack//Mutation Part 2,.hack//Mutation: Part 2,PS2,14/20,16.4/20,Bandai CyberConnect2,18 Juin 2004,RPG,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00012048-hack-mutation-part-2.htm," Voici enfin le second volet de la quadrilogie vidéoludique Dot Hack. Se passant dans la continuité parfaite du premier épisode, le joueur éclairé ne pourra attendre de cet opus qu'une cascade de révélations sachant que le moteur graphique et le système de jeu restent strictement identiques. Pour l'heure, rentrons dans cet univers virtuel où derrière chaque pixel peut se cacher un indice, une vérité, où chaque rencontre peut être source d'une déconnexion sauvage."
5,.hack//Outbreak Part 3,.hack//Outbreak: Part 3,PS2,13/20,15.3/20,CyberConnect2 Atari,17 Septembre 2004,RPG,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00012049-hack-outbreak-part-3.htm," Comme la maxime «Jamais deux sans trois» ne convenait pas à Bandaï, la société japonaise s'est donc mise en tête de concevoir 4 segments qui, mis bout à bout, formeront une histoire, un tout vidéoludique qui ne sera, lui, qu'une partie d'une entreprise rondement menée entraînant dans son sillage, manga, série TV et OAV. Pour l'heure voici le troisième épisode de Dot Hack, sous-titré Outbreak, avant-dernier opus numérique d'une saga qui cherche encore désespérément à revendiquer son côté ""auteurisant"" à défaut d'un aspect ludique moyennement prononcé."
6,.hack//Quarantine Part 4 : The Final Chapter,.hack//Quarantine: Part 4,PS2,8/20,15.8/20,CyberConnect2 Atari,03 Décembre 2004,RPG,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00012050-hack-quarantine-part-4-the-final-chapter.htm," Dernier épisode de la quadrilogie Dot Hack, Quarantine fait figure de bien triste constat. Si le projet semblait de prime abord être plein de promesses, il faut voir avant tout que cette machinerie vidéoludique mise en place par Bandaï est une des plus grandes arnaques à laquelle j'ai assisté. Mêlant astucieusement manga, série TV, OAV et jeux vidéo, l'univers de Hack aura donc été propice à un entrelacement scénaristique très intéressant. Si dans sa globalité, le concept est fort original, les 4 jeux constituant l'aspect vidéoludique ne semblent malheureusement être là que pour soutirer encore un peu plus d'argent à nous autres, pauvres joueurs. Et autant dire que nous frisons ici l'insolence vénale, commanditée par des têtes pensantes en voulant toujours plus."
7,'Splosion Man,'Splosion Man,360,17/20,16.6/20,Twisted Pixel,22 Juillet 2009,Action Plate-Forme,Unknown,http://www.jeuxvideo.com/jeux/xbox-360/00031225-splosion-man.htm," Après avoir effectué quelques travaux de sous-traitance pour Midway, Twisted Pixel a véritablement pris son envol cette année grâce à la sortie de The Maw, un titre aussi original qu'intelligent. Avec 'Splosion Man, son second projet, le studio franchit un nouveau cap et rentre dans le cercle fermé des développeurs indépendants à surveiller de près. Car ce jeu d'action&#47;plates-formes est une petite perle pour tous les amateurs du genre."
8,#IDARB,#IDARB,ONE,13/20,14.5/20,Other Ocean Interactive,30 Janvier 2015,Sport,+3 ans,http://www.jeuxvideo.com/jeux/one/jeu-413703/,"Lorsque l'on mélange basket, plates-formes et action, on envoie d'office un message clair : joie, bordel et coups de coude seront de la partie. #IDARB se pose comme une expérience fun à jouer en multi avec des potes. Parce que sinon, ça n'a pas d'intérêt."
9,0 Day Attack on Earth,0 day Attack on Earth,360,8/20,5.3/20,Square Enix,23 Décembre 2009,Shoot'em Up,Unknown,http://www.jeuxvideo.com/jeux/xbox-360/00030864-0-day-attack-on-earth.htm,Vous ne le savez peut-être pas encore mais il ne vous reste plus que sept jours avant que la Terre ne soit totalement dévastée par une invasion alien. C'est donc le moment où jamais de voir si toutes les soirées que vous avez consacrées à Space Invaders ont finalement servi à quelque chose. Empruntez le premier avion qui vous tombe sous la main et allez débarrasser nos belles villes de la vermine extraterrestre.
10,007 : Bons Baisers de Russie,007: From Russia with Love,PSP,8/20,16.3/20,Electronic Arts,17 Novembre 2005,Action FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-74393/," Avoir la classe en toute circonstance n'est pas donné à tout le monde. Pourtant, cette idée n'a jamais dû effleurer l'esprit de James Bond qui reste plus que jamais le (super) héros au flegme imperturbable, au talent inégalable, au charisme inébranlable. Après avoir vidé son verre de vodka sur consoles de salon, le voici qui trinque avec la mère Russie sur PSP. Mais à part une bonne gueule de bois, il y a malheureusement pas grand-chose d'autre à en tirer."
11,007 : Bons Baisers de Russie,007: From Russia with Love,NGC,13/20,16.3/20,Electronic Arts,17 Novembre 2005,Action FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-74393/," Depuis qu'EA a récupéré la licence James Bond, l'éditeur a eu bien du mal à s'en dépatouiller, mais l'an dernier, l'épisode Quitte Ou Double aura fini par briser cette chaîne maudite. La grande question est alors : EA sera-t-il en mesure de rééditer la performance ?"
12,007 : Bons Baisers de Russie,007: From Russia with Love,Xbox,13/20,--/20,Electronic Arts,17 Novembre 2005,Action FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-74393/," Depuis qu'EA a récupéré la licence James Bond, l'éditeur a eu bien du mal à s'en dépatouiller, mais l'an dernier, l'épisode Quitte Ou Double aura fini par briser cette chaîne maudite. La grande question est alors : EA sera-t-il en mesure de rééditer la performance ?"
13,007 : Bons Baisers de Russie,007: From Russia with Love,PS2,13/20,--/20,Electronic Arts,17 Novembre 2005,Action FPS,+16 ans,http://www.jeuxvideo.com/jeux/jeu-74393/," Depuis qu'EA a récupéré la licence James Bond, l'éditeur a eu bien du mal à s'en dépatouiller, mais l'an dernier, l'épisode Quitte Ou Double aura fini par briser cette chaîne maudite. La grande question est alors : EA sera-t-il en mesure de rééditer la performance ?"
14,007 : Espion pour Cible,007: Agent Under Fire,NGC,14/20,16.7/20,MGM Interactive Electronic Arts,13 Novembre 2001,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-60656/," Amis de la Vodka Martini, remuée et pas sécouée ou encore du célèbre Walther PPK, James Bond est de retour. Après une version PS2 plutôt sympathique d'Espion Pour Cible, c'est au tour du joyeux portage sur Gamecube de pointer le bout de son nez pour des aventures très smart !"
15,007 : Espion pour Cible,007: Agent Under Fire,Xbox,14/20,--/20,MGM Interactive Electronic Arts,13 Novembre 2001,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-60656/," Amis de la Vodka Martini, remuée et pas sécouée ou encore du célèbre Walther PPK, James Bond est de retour. Après une version PS2 plutôt sympathique d'Espion Pour Cible, c'est au tour du joyeux portage sur Xbox de pointer le bout de son nez pour des aventures très smart !"
16,007 : Espion pour Cible,007: Agent Under Fire,PS2,14/20,16.7/20,MGM Interactive Electronic Arts,13 Novembre 2001,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-60656/," Déjà maintes fois déclinées sur consoles, les aventures de l'agent 007 n'ont pas toujours été couronnées de succès (à part bien sûr Golden Eye sur N64). Pour ce titre PS2, on ne sait donc vraiment pas à quoi s'attendre..."
17,007 : Nightfire,007: Nightfire,GBA,13/20,16.7/20,JV Games Gearbox Software Electronic Arts,28 Novembre 2002,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74392/," Les FPS sur GBA se multiplient et à ce rythme-là on se fraggera bientôt en réseau dans le métro. En attendant, voici venir mister Bond sur portable dans un shooter qui surprend graphiquement mais dont les faiblesses de gameplay font un peu trembler les fondations."
18,007 : Nightfire,007: Nightfire,PC,11/20,16.7/20,JV Games Gearbox Software Electronic Arts,28 Novembre 2002,Action FPS,+12 ans,http://www.jeuxvideo.com/jeux/jeu-74392/," Après un passage peu brillant sur console 007 Nightfire vient tenter au pays du frag. Quelles chances l'agent secret le plus classe du monde, détenteur du record mondial de roulage de pelles, a-t-il de survivre au pays du frag ? Bof, pas des masses."
